GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,MSA_CMSAA,PMSAA,NECMAA,NAME,FKI001
G1900310,2000,2,4,Iowa,19,Cedar,31,9999,9999,9999,Cedar County,7570
G1900330,2000,2,4,Iowa,19,Cerro Gordo,33,9999,9999,9999,Cerro Gordo County,21488
G1900350,2000,2,4,Iowa,19,Cherokee,35,9999,9999,9999,Cherokee County,5850
G1900370,2000,2,4,Iowa,19,Chickasaw,37,9999,9999,9999,Chickasaw County,5593
G1900390,2000,2,4,Iowa,19,Clarke,39,9999,9999,9999,Clarke County,3934
G1900410,2000,2,4,Iowa,19,Clay,41,9999,9999,9999,Clay County,7828
G1900430,2000,2,4,Iowa,19,Clayton,43,9999,9999,9999,Clayton County,8619
G1900450,2000,2,4,Iowa,19,Clinton,45,9999,9999,9999,Clinton County,21585
G1900470,2000,2,4,Iowa,19,Crawford,47,9999,9999,9999,Crawford County,6958
G1900490,2000,2,4,Iowa,19,Dallas,49,2120,9999,9999,Dallas County,16529
G1900510,2000,2,4,Iowa,19,Davis,51,9999,9999,9999,Davis County,3530
G1900530,2000,2,4,Iowa,19,Decatur,53,9999,9999,9999,Decatur County,3833
G1900550,2000,2,4,Iowa,19,Delaware,55,9999,9999,9999,Delaware County,7682
G1900570,2000,2,4,Iowa,19,Des Moines,57,9999,9999,9999,Des Moines County,18643
G1900590,2000,2,4,Iowa,19,Dickinson,59,9999,9999,9999,Dickinson County,11375
G1900610,2000,2,4,Iowa,19,Dubuque,61,2200,9999,9999,Dubuque County,35505
G1900630,2000,2,4,Iowa,19,Emmet,63,9999,9999,9999,Emmet County,4889
G1900650,2000,2,4,Iowa,19,Fayette,65,9999,9999,9999,Fayette County,9505
G1900670,2000,2,4,Iowa,19,Floyd,67,9999,9999,9999,Floyd County,7317
G1900690,2000,2,4,Iowa,19,Franklin,69,9999,9999,9999,Franklin County,4763
G1900710,2000,2,4,Iowa,19,Fremont,71,9999,9999,9999,Fremont County,3514
G1900730,2000,2,4,Iowa,19,Greene,73,9999,9999,9999,Greene County,4623
G1900750,2000,2,4,Iowa,19,Grundy,75,9999,9999,9999,Grundy County,5304
G1900770,2000,2,4,Iowa,19,Guthrie,77,9999,9999,9999,Guthrie County,5467
G1900790,2000,2,4,Iowa,19,Hamilton,79,9999,9999,9999,Hamilton County,7082
G1900810,2000,2,4,Iowa,19,Hancock,81,9999,9999,9999,Hancock County,5164
G1900830,2000,2,4,Iowa,19,Hardin,83,9999,9999,9999,Hardin County,8318
G1900850,2000,2,4,Iowa,19,Harrison,85,9999,9999,9999,Harrison County,6602
G1900870,2000,2,4,Iowa,19,Henry,87,9999,9999,9999,Henry County,8246
G1900890,2000,2,4,Iowa,19,Howard,89,9999,9999,9999,Howard County,4327
G1900910,2000,2,4,Iowa,19,Humboldt,91,9999,9999,9999,Humboldt County,4645
G1900930,2000,2,4,Iowa,19,Ida,93,9999,9999,9999,Ida County,3506
G1900950,2000,2,4,Iowa,19,Iowa,95,9999,9999,9999,Iowa County,6545
G1900970,2000,2,4,Iowa,19,Jackson,97,9999,9999,9999,Jackson County,8949
G1900990,2000,2,4,Iowa,19,Jasper,99,9999,9999,9999,Jasper County,15659
G1901010,2000,2,4,Iowa,19,Jefferson,101,9999,9999,9999,Jefferson County,7241
G1901030,2000,2,4,Iowa,19,Johnson,103,3500,9999,9999,Johnson County,45831
G1901050,2000,2,4,Iowa,19,Jones,105,9999,9999,9999,Jones County,8126
G1901070,2000,2,4,Iowa,19,Keokuk,107,9999,9999,9999,Keokuk County,5013
G1901090,2000,2,4,Iowa,19,Kossuth,109,9999,9999,9999,Kossuth County,7605
G1901110,2000,2,4,Iowa,19,Lee,111,9999,9999,9999,Lee County,16612
G1901130,2000,2,4,Iowa,19,Linn,113,1360,9999,9999,Linn County,80551
G1901150,2000,2,4,Iowa,19,Louisa,115,9999,9999,9999,Louisa County,5133
G1901170,2000,2,4,Iowa,19,Lucas,117,9999,9999,9999,Lucas County,4239
G1901190,2000,2,4,Iowa,19,Lyon,119,9999,9999,9999,Lyon County,4758
G1901210,2000,2,4,Iowa,19,Madison,121,9999,9999,9999,Madison County,5661
G1901230,2000,2,4,Iowa,19,Mahaska,123,9999,9999,9999,Mahaska County,9551
G1901250,2000,2,4,Iowa,19,Marion,125,9999,9999,9999,Marion County,12755
G1901270,2000,2,4,Iowa,19,Marshall,127,9999,9999,9999,Marshall County,16324
G1901290,2000,2,4,Iowa,19,Mills,129,9999,9999,9999,Mills County,5671
G1901310,2000,2,4,Iowa,19,Mitchell,131,9999,9999,9999,Mitchell County,4594
G1901330,2000,2,4,Iowa,19,Monona,133,9999,9999,9999,Monona County,4660
G1901350,2000,2,4,Iowa,19,Monroe,135,9999,9999,9999,Monroe County,3588
G1901370,2000,2,4,Iowa,19,Montgomery,137,9999,9999,9999,Montgomery County,5399
G1901390,2000,2,4,Iowa,19,Muscatine,139,9999,9999,9999,Muscatine County,16786
G1901410,2000,2,4,Iowa,19,O Brien,141,9999,9999,9999,O'Brien County,6509
G1901430,2000,2,4,Iowa,19,Osceola,143,9999,9999,9999,Osceola County,3012
G1901450,2000,2,4,Iowa,19,Page,145,9999,9999,9999,Page County,7302
G1901470,2000,2,4,Iowa,19,Palo Alto,147,9999,9999,9999,Palo Alto County,4631
G1901490,2000,2,4,Iowa,19,Plymouth,149,9999,9999,9999,Plymouth County,9880
G1901510,2000,2,4,Iowa,19,Pocahontas,151,9999,9999,9999,Pocahontas County,3988
G1901530,2000,2,4,Iowa,19,Polk,153,2120,9999,9999,Polk County,156447
G1901550,2000,2,4,Iowa,19,Pottawattamie,155,5920,9999,9999,Pottawattamie County,35761
G1901570,2000,2,4,Iowa,19,Poweshiek,157,9999,9999,9999,Poweshiek County,8556
G1901590,2000,2,4,Iowa,19,Ringgold,159,9999,9999,9999,Ringgold County,2789
G1901610,2000,2,4,Iowa,19,Sac,161,9999,9999,9999,Sac County,5460
G1901630,2000,2,4,Iowa,19,Scott,163,1960,9999,9999,Scott County,65649
G1901650,2000,2,4,Iowa,19,Shelby,165,9999,9999,9999,Shelby County,5459
G1901670,2000,2,4,Iowa,19,Sioux,167,9999,9999,9999,Sioux County,11260
G1901690,2000,2,4,Iowa,19,Story,169,9999,9999,9999,Story County,30630
G1901710,2000,2,4,Iowa,19,Tama,171,9999,9999,9999,Tama County,7583
G1901730,2000,2,4,Iowa,19,Taylor,173,9999,9999,9999,Taylor County,3199
G1901750,2000,2,4,Iowa,19,Union,175,9999,9999,9999,Union County,5657
G1901770,2000,2,4,Iowa,19,Van Buren,177,9999,9999,9999,Van Buren County,3581
G1901790,2000,2,4,Iowa,19,Wapello,179,9999,9999,9999,Wapello County,15873
G1901810,2000,2,4,Iowa,19,Warren,181,2120,9999,9999,Warren County,15289
G1901830,2000,2,4,Iowa,19,Washington,183,9999,9999,9999,Washington County,8543
G1901850,2000,2,4,Iowa,19,Wayne,185,9999,9999,9999,Wayne County,3357
G1901870,2000,2,4,Iowa,19,Webster,187,9999,9999,9999,Webster County,16969
G1901890,2000,2,4,Iowa,19,Winnebago,189,9999,9999,9999,Winnebago County,5065
G1901910,2000,2,4,Iowa,19,Winneshiek,191,9999,9999,9999,Winneshiek County,8208
G1901930,2000,2,4,Iowa,19,Woodbury,193,7720,9999,9999,Woodbury County,41394
G1901950,2000,2,4,Iowa,19,Worth,195,9999,9999,9999,Worth County,3534
G1901970,2000,2,4,Iowa,19,Wright,197,9999,9999,9999,Wright County,6559
G2000010,2000,2,4,Kansas,20,Allen,1,9999,9999,9999,Allen County,6449
G2000030,2000,2,4,Kansas,20,Anderson,3,9999,9999,9999,Anderson County,3596
G2000050,2000,2,4,Kansas,20,Atchison,5,9999,9999,9999,Atchison County,6818
G2000070,2000,2,4,Kansas,20,Barber,7,9999,9999,9999,Barber County,2740
G2000090,2000,2,4,Kansas,20,Barton,9,9999,9999,9999,Barton County,12888
G2000110,2000,2,4,Kansas,20,Bourbon,11,9999,9999,9999,Bourbon County,7135
G2000130,2000,2,4,Kansas,20,Brown,13,9999,9999,9999,Brown County,4815
G2000150,2000,2,4,Kansas,20,Butler,15,9040,9999,9999,Butler County,23176
G2000170,2000,2,4,Kansas,20,Chase,17,9999,9999,9999,Chase County,1529
G2000190,2000,2,4,Kansas,20,Chautauqua,19,9999,9999,9999,Chautauqua County,2169
G2000210,2000,2,4,Kansas,20,Cherokee,21,9999,9999,9999,Cherokee County,10031
G2000230,2000,2,4,Kansas,20,Cheyenne,23,9999,9999,9999,Cheyenne County,1636
G2000250,2000,2,4,Kansas,20,Clark,25,9999,9999,9999,Clark County,1111
G2000270,2000,2,4,Kansas,20,Clay,27,9999,9999,9999,Clay County,4084
G2000290,2000,2,4,Kansas,20,Cloud,29,9999,9999,9999,Cloud County,4838
G2000310,2000,2,4,Kansas,20,Coffey,31,9999,9999,9999,Coffey County,3876
G2000330,2000,2,4,Kansas,20,Comanche,33,9999,9999,9999,Comanche County,1088
G2000350,2000,2,4,Kansas,20,Cowley,35,9999,9999,9999,Cowley County,15673
G2000370,2000,2,4,Kansas,20,Crawford,37,9999,9999,9999,Crawford County,17221
G2000390,2000,2,4,Kansas,20,Decatur,39,9999,9999,9999,Decatur County,1821
G2000410,2000,2,4,Kansas,20,Dickinson,41,9999,9999,9999,Dickinson County,8686
G2000430,2000,2,4,Kansas,20,Doniphan,43,9999,9999,9999,Doniphan County,3489
G2000450,2000,2,4,Kansas,20,Douglas,45,4150,9999,9999,Douglas County,40250
G2000470,2000,2,4,Kansas,20,Edwards,47,9999,9999,9999,Edwards County,1754
